1;24;10;2013;8.65;8.82;8.85;8.65;8.82;1300
2;23;10;2013;8.75;8.82;9;8.72;8.82;6200
3;22;10;2013;8.98;8.73;9;8.73;8.73;1300
4;21;10;2013;8.8;8.97;8.97;8.6;8.97;7800
5;18;10;2013;8.85;8.55;8.9;8.55;8.55;6700
6;17;10;2013;9;8.61;9;8.61;8.61;5300
7;16;10;2013;8.58;8.58;8.58;8.58;8.58;0
8;15;10;2013;8.55;8.58;8.58;8.55;8.58;2000
9;14;10;2013;8.9;8.9;8.9;8.9;8.9;100
10;11;10;2013;9.25;8.51;9.25;8.51;8.51;0
11;10;10;2013;8.66;8.81;8.81;8.66;8.81;300
12;9;10;2013;8.9;8.85;8.9;8.8;8.85;2600
13;8;10;2013;9.1;9.1;9.1;8.5;9.1;6700
14;7;10;2013;8.65;8.67;8.67;8.65;8.67;200
15;4;10;2013;8.5;9.02;9.18;8.5;9.02;1900
16;3;10;2013;8.1;8.76;8.76;8;8.76;300
17;2;10;2013;8.35;8.35;8.35;8.35;8.35;0
18;1;10;2013;9.2;8.35;9.2;8.35;8.35;600
19;30;9;2013;8.78;8.78;8.78;8.78;8.78;0
20;27;9;2013;9.14;8.78;9.14;8.78;8.78;0
21;26;9;2013;8.9;8.73;9.27;8.73;8.73;2200
22;25;9;2013;8.94;8.95;8.95;8.94;8.95;0
23;24;9;2013;8.5;8.53;8.53;8.5;8.53;500
24;23;9;2013;8.3;8.13;8.35;8.13;8.13;100
25;20;9;2013;8.7;8.5;8.7;8.5;8.5;3900
26;19;9;2013;8.6;8.92;8.92;8.5;8.92;400
27;18;9;2013;8.75;8.5;8.75;8.5;8.5;400
28;17;9;2013;9.09;8.65;9.09;8.65;8.65;600
29;16;9;2013;8.72;8.72;8.72;8.72;8.72;0
30;13;9;2013;8.75;8.72;8.75;8.72;8.72;0
31;12;9;2013;9.17;9.17;9.17;9.17;9.17;0
32;11;9;2013;9.17;9.17;9.17;9.17;9.17;1100
33;10;9;2013;8.75;8.75;8.75;8.75;8.75;500
34;9;9;2013;8.5;8.5;8.5;8.5;8.5;0
35;6;9;2013;8.7;8.5;8.7;8.5;8.5;300
36;5;9;2013;8.85;8.88;8.93;8.85;8.88;600
37;4;9;2013;8.6;8.51;8.6;8.51;8.51;2200
38;3;9;2013;9.39;8.6;9.39;8.6;8.6;4000
39;2;9;2013;9.42;9.4;10.4;9.37;9.4;600
40;30;8;2013;10.4;10.4;10.4;10.4;10.4;0
41;29;8;2013;9.75;9.75;9.75;9.75;9.75;300
42;28;8;2013;10.83;10.83;10.83;10.83;10.83;0
43;27;8;2013;9.5;9.85;9.85;9.5;9.85;0
44;26;8;2013;9.01;9.01;9.01;9.01;9.01;400
45;23;8;2013;9.01;9.25;9.89;9.01;9.25;2100
46;22;8;2013;9.91;9.91;9.91;9.91;9.91;0
47;21;8;2013;8.9;9.91;9.91;8.9;9.91;1500
48;20;8;2013;9.01;9.02;9.2;9.01;9.02;700
49;19;8;2013;9;10;10;8.92;10;1600
50;16;8;2013;10.9;9.9;10.9;9.9;9.9;0
51;15;8;2013;10.1;10.1;10.1;10.1;10.1;0
52;14;8;2013;9.25;10.1;10.1;9.01;10.1;1600
53;13;8;2013;8.56;10;10;8.56;10;300
54;12;8;2013;9.6;9.5;9.6;9.5;9.5;0
55;9;8;2013;9.68;9.68;9.68;9.68;9.68;0
56;8;8;2013;9.68;9.68;9.68;9.68;9.68;0
57;7;8;2013;9.54;9.1;9.54;9;9.1;1000
58;6;8;2013;8.9;8.71;9.6;8.3;8.71;400
59;5;8;2013;9.4;8.9;9.69;8.9;8.9;0
60;2;8;2013;9;8.9;9.25;8.9;8.9;0
61;1;8;2013;9.49;9;9.49;9;9;900
62;31;7;2013;9.5;9.55;9.55;9;9.55;200
63;30;7;2013;8.9;9;9;8.6;9;1700
64;29;7;2013;9;8.8;9;8.8;8.8;3400
65;26;7;2013;9.15;9;9.15;8.95;9;1100
66;25;7;2013;9.35;9.3;9.4;9.3;9.3;1900
67;24;7;2013;9.5;9.39;9.5;9.39;9.39;1900
68;23;7;2013;9.5;9.4;9.5;9.4;9.4;1700
69;22;7;2013;9.5;9.4;9.58;9.4;9.4;7100
70;19;7;2013;9.9;9.9;9.9;9.9;9.9;0
71;18;7;2013;9.6;9.51;9.6;9.51;9.51;100
72;17;7;2013;10.25;9.99;10.25;9.99;9.99;500
73;16;7;2013;9.65;9.65;9.65;9.65;9.65;0
74;15;7;2013;9.8;9.65;9.8;9.5;9.65;900
75;12;7;2013;10.4;10.2;10.4;10.2;10.2;200
76;11;7;2013;10.25;10.25;10.25;10.25;10.25;0
77;10;7;2013;10.01;10.25;10.25;10.01;10.25;5100
78;9;7;2013;10.25;10.25;10.25;10.25;10.25;0
79;8;7;2013;10.15;10;10.15;10;10;1200
80;5;7;2013;10.76;10.76;10.76;10.76;10.76;1000
81;4;7;2013;11.95;11.95;11.95;11.95;11.95;0
82;3;7;2013;11.95;11.95;11.95;11.95;11.95;0
83;2;7;2013;9.91;10;10.68;9.91;10;900
84;1;7;2013;9.99;10;10;9.99;10;400
85;28;6;2013;10.17;10;10.17;10;10;400
86;27;6;2013;10.2;10.2;10.2;10.19;10.2;500
87;26;6;2013;9.9;9.9;9.9;9.9;9.9;0
88;25;6;2013;10.01;9.9;10.05;9.9;9.9;400
89;24;6;2013;10.4;10.39;10.4;10.39;10.39;1200
90;21;6;2013;10.6;10.17;10.6;10.17;10.17;4900
91;20;6;2013;10.69;10.5;10.69;10.5;10.5;100
